,full_name
0,google-research/bert
1,kelthuzadx/hosts
2,google/yapf
3,google/dopamine
4,googleapis/google-api-nodejs-client
5,firebase/functions-samples
6,haotian-wang/google-access-helper
7,tensorlayer/tensorlayer
8,Tapadoo/Alerter
9,lennylxx/ipv6-hosts
10,jarun/googler
11,google-map-react/google-map-react
12,google/closure-library
13,justjavac/Google-IPs
14,txthinking/google-hosts
15,hybridauth/hybridauth
16,zdhxiong/mdui
17,Canner/canner
18,knative/serving
19,simon-weber/gmusicapi
20,microg/android_packages_apps_GmsCore
21,lipp/login-with
22,harababurel/gcsf
23,openthread/openthread
24,google/gts
25,spatie/laravel-analytics
26,federicoiosue/Omni-Notes
27,google/santa-tracker-android
28,nb312/flutter-ui-nice
29,jay0lee/GAM
30,miniMAC/magic
31,vigetlabs/blendid
32,nieweidong/fetool
33,assemble/assemble
34,yeoman/generator-webapp
35,Tencent/WeFlow
36,MicrosoftDX/Vorlonjs
37,EmailThis/extension-boilerplate
38,Tencent/tmt-workflow
39,summerblue/phphub5
40,egoist/maid
41,PatrickJS/NG6-starter
42,nas5w/100-days-of-code-frontend
43,luangjokaj/wordpressify
44,FountainJS/generator-fountain-webapp
45,b00giZm/docker-compose-nodejs-examples
46,Platform-CUF/use-gulp
47,gdg-x/hoverboard
48,tars/tars
49,minamarkham/sassy-starter
50,ericmdantas/generator-ng-fullstack
51,jonschlinkert/gulp-htmlmin
52,xsynaptic/wordpress-gulp-starter-kit
53,jh3y/tyto
54,cferdinandi/gulp-boilerplate
55,scniro/gulp-clean-css
56,HosseinKarami/fastshell
57,alferov/awesome-gulp
58,antonybudianto/angular-starter
59,miickel/gulp-angular-templatecache
60,jwasham/coding-interview-university
61,CyC2018/CS-Notes
62,TheAlgorithms/Python
63,trekhleb/javascript-algorithms
64,kdn251/interviews
65,yangshun/tech-interview-handbook
66,algorithm-visualizer/algorithm-visualizer
67,azl397985856/leetcode
68,crossoverJie/JCSprout
69,donnemartin/interactive-coding-challenges
70,keon/algorithms
71,mxgmn/WaveFunctionCollapse
72,trekhleb/homemade-machine-learning
73,OpenGenus/cosmos
74,apachecn/awesome-algorithm
75,huihut/interview
76,AtsushiSakai/PythonRobotics
77,Blankj/awesome-java-leetcode
78,jeffgerickson/algorithms
79,mgechev/javascript-algorithms
80,lnishan/awesome-competitive-programming
81,jdneo/vscode-leetcode
82,Turfjs/turf
83,nonstriater/Learn-Algorithms
84,OlafenwaMoses/ImageAI
85,TheAlgorithms/C-Plus-Plus
86,awangdev/LintCode
87,mandliya/algorithms_and_data_structures
88,vicky002/AlgoWiki
89,hustcc/JS-Sorting-Algorithm
90,drone/drone
91,jenkinsci/jenkins
92,auchenberg/volkswagen
93,nightwatchjs/nightwatch
94,openshift/origin
95,gocd/gocd
96,concourse/concourse
97,Strider-CD/strider
98,buildbot/buildbot
99,gaia-pipeline/gaia
100,xcpretty/xcpretty
101,jenkins-x/jx
102,Hygieia/Hygieia
103,ovh/cds
104,dancryer/PHPCI
105,cake-build/cake
106,ligurio/awesome-ci
107,fabric8io/fabric8
108,houndci/hound
109,dreamans/syncd
110,flant/werf
111,lastbackend/lastbackend
112,tox-dev/tox
113,Piplin/Piplin
114,ehmicky/cross-platform-node-guide
115,bmitch/churn-php
116,japaric/trust
117,caicloud/cyclone
118,xolvio/chimp
119,screwdriver-cd/screwdriver
120,jaywcjlove/awesome-mac
121,dkhamsing/open-source-ios-apps
122,drduh/macOS-Security-and-Privacy-Guide
123,iCHAIT/awesome-macOS
124,futurice/ios-good-practices
125,insidegui/WWDC
126,tonymillion/Reachability
127,bizz84/SwiftyStoreKit
128,likedan/Awesome-CoreML-Models
129,Juanpe/About-SwiftUI
130,daliansky/Hackintosh
131,huangyz0918/Hackintosh-Installer-University
132,pedrommcarrasco/Brooklyn
133,seemoo-lab/opendrop
134,Hackl0us/SS-Rule-Snippet
135,CoderZhuXH/XHLaunchAd
136,uraimo/Awesome-Swift-Playgrounds
137,Musish/Musish
138,sideshow/apns2
139,Blackjacx/WWDC
140,ivanvorobei/SPStorkController
141,refscn/rplibs
142,aahung/Unshaky
143,jakarmy/swift-summary
144,xmartlabs/Bender
145,peripheryapp/periphery
146,cDima/Aerial
147,sleekbyte/tailor
148,BilalReffas/EmojiIntelligence
149,rwbutler/Connectivity
150,jakevdp/PythonDataScienceHandbook
151,CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
152,ageron/handson-ml
153,MLEveryday/100-Days-Of-ML-Code
154,trekhleb/homemade-machine-learning
155,emilwallner/Screenshot-to-code
156,hangtwenty/dive-into-machine-learning
157,microsoft/recommenders
158,dunovank/jupyter-themes
159,chenyuntc/pytorch-book
160,jupyterhub/jupyterhub
161,nteract/nteract
162,firmai/industry-machine-learning
163,pandas-profiling/pandas-profiling
164,BrambleXu/pydata-notebook
165,tensorflow/lucid
166,mwouts/jupytext
167,justmarkham/scikit-learn-videos
168,microsoft/tensorwatch
169,NervanaSystems/distiller
170,gopherdata/gophernotes
171,Cyb3rWard0g/HELK
172,yunabe/lgo
173,sachinruk/deepschool.io
174,jupyter/nbviewer
175,ethen8181/machine-learning
176,girls-in-ai/Girls-In-AI
177,lambdalisue/jupyter-vim-binding
178,jerry-git/learn-python3
179,jupyter/nbdime
180,sindresorhus/awesome
181,vinta/awesome-python
182,avelino/awesome-go
183,awesome-selfhosted/awesome-selfhosted
184,papers-we-love/papers-we-love
185,wasabeef/awesome-android-ui
186,jaywcjlove/awesome-mac
187,vsouza/awesome-ios
188,sindresorhus/awesome-nodejs
189,Hack-with-Github/Awesome-Hacking
190,MaximAbramchuck/awesome-interview-questions
191,prakhar1989/awesome-courses
192,tiimgreen/github-cheat-sheet
193,dypsilon/frontend-dev-bookmarks
194,trimstray/the-book-of-secret-knowledge
195,Solido/awesome-flutter
196,fffaraz/awesome-cpp
197,binhnguyennus/awesome-scalability
198,ziadoz/awesome-php
199,herrbischoff/awesome-macos-command-line
200,dkhamsing/open-source-ios-apps
201,serhii-londar/open-source-mac-os-apps
202,brillout/awesome-react-components
203,sindresorhus/awesome-electron
204,matteocrippa/awesome-swift
205,LisaDziuba/Awesome-Design-Tools
206,alebcay/awesome-shell
207,veggiemonk/awesome-docker
208,viatsko/awesome-vscode
209,nikitavoloboev/my-mac-os
210,krishnan-mani/the-cf-workshop
211,qiao/javascript-playground
212,mohamed-taman/JavaSE8-Features
213,wakamsha/learningParallax
214,GuildSA/corona-hack-pack
215,abranhe/js
216,generationblockchain/remix-tutorial-simple-contracts
217,nruffilo/LearnToCode
218,dzupin/learningPygame
219,oneTaken/code_example
220,bluenex/trivialThings
221,Anja19866/Projects-Codecademy
222,rahuldhangar/learn-mql4
223,johneddcooper/algorithms
224,jonnyhyman/Programming-Classes
225,mrflip/chimpmark
226,Gupzzz/myCodingExercises
227,michaelpb/cheatsheets
228,Superhuman07/basic-code-for-beginners
229,dzupin/miscPython
230,MrGrayCode/Learning-Keras
231,LaurenCoker512/Coding-Roadmap
232,jgilcher/training
233,mrbrianhinton/misc
234,ElyseWyatt/elyses-coding-notes
235,haiaty/neverstoplearning-scala
236,hisokou/Amateur
237,ankdesh/LearnTry
238,facaiy/Spark-for-the-Impatient
239,mattulm/snippets
240,serverless/serverless
241,localstack/localstack
242,donnemartin/data-science-ipython-notebooks
243,aws/aws-cli
244,apex/apex
245,kubernetes-sigs/kubespray
246,ramitsurana/awesome-kubernetes
247,donnemartin/awesome-aws
248,apex/up
249,apereo/cas
250,google/go-cloud
251,awslabs/serverless-application-model
252,aws/chalice
253,aws-amplify/amplify-js
254,aws/aws-sdk-js
255,aws/aws-sdk-go
256,awslabs/aws-shell
257,boto/boto3
258,donnemartin/dev-setup
259,awslabs/aws-sam-cli
260,caprover/caprover
261,wallix/awless
262,donnemartin/saws
263,pulumi/pulumi
264,angristan/openvpn-install
265,Netflix/security_monkey
266,aws/aws-cdk
267,azat-co/practicalnode
268,terraform-providers/terraform-provider-aws
269,claudiajs/claudia
270,practicalAI/practicalAI
271,apachecn/AiLearning
272,google-research/bert
273,huggingface/transformers
274,hankcs/HanLP
275,explosion/spaCy
276,oxford-cs-deepnlp-2017/lectures
277,virgili0/Virgilio
278,RaRe-Technologies/gensim
279,keon/awesome-nlp
280,chiphuyen/stanford-tensorflow-tutorials
281,spencermountain/compromise
282,bharathgs/Awesome-pytorch-list
283,nltk/nltk
284,botpress/botpress
285,zalandoresearch/flair
286,allenai/allennlp
287,RasaHQ/rasa
288,stanfordnlp/CoreNLP
289,sloria/TextBlob
290,hanxiao/bert-as-service
291,brightmart/text_classification
292,nfmcclure/tensorflow_cookbook
293,NLPchina/ansj_seg
294,crownpku/Awesome-Chinese-NLP
295,graykode/nlp-tutorial
296,zihangdai/xlnet
297,vi3k6i5/flashtext
298,brightmart/nlp_chinese_corpus
299,dragen1860/TensorFlow-2.x-Tutorials
300,fnando/paginate
301,FearDread/affiliates
302,TerranUlm/MyBB-Plugin-OPT-Portal
303,thestacyharris/Web_Development_1
304,nix1947/td18
305,zaheer-d/angular-examples
306,aly8246/collection-util
307,charlesciaos/ciaos
308,nikmane221/REST-services-to-get-the-data-from-mongodb-in-python-using-flask.py
309,PrimeSec420/PrimeSec
310,Geetaregmi777/Kindergarten-First-Education-Privacy-Policy
311,Micemade/visual-composer-as-elements
312,ChandanaRD/mind_reader
313,HinsSyr/Remote-Code-Page-Management
314,baldm0mma/NASA_APOD_vue
315,sogrand/Solar-spotlights
316,Sogrand123/Solar-landscape-lights
317,sogrand/Solar-spot-light
318,sogrand/Solar-jar-lights
319,Sogrand123/Decorative-solar-lights
320,sogrand/Solar-light-post
321,sogrand/Solar-landscape-spotlights
322,hadanischal/PublisherFacts
323,Wallace-Best/best
324,Free5Dev/angular
325,blanchecyan/MVC-Europe-home
326,Sogrand123/Solar-porch-light
327,sogrand/Solar-ball-lights
328,Sogrand123/Solar-yard-lights
329,sogrand/solaryardlights
330,sogrand/solar-lights
331,Sogrand123/Solar-garden-lights
332,sogrand/solar-path-lights
333,Sogrand123/Solar-deck-lights
334,jamiebarmakian/10.5_API_Dog_Assignment
335,Sogrand123/Solar-jar-lights
336,sogrand/Solar-lantern
337,Sogrand123/Solar-path-lights
338,sogrand/solar-garden-lights
339,Sogrand123/Solar-pathway-lights
340,Sogrand123/Solar-Waterproof-Wall-Light
341,Sogrand123/Solar-driveway-lights
342,sogrand/Fence-post-lights
343,sogrand/Hanging-solar-light
344,jamiebarmakian/10.5_API_Dog_Assignment_Part3
345,Airtel4G/LTE
346,sogrand/Solar-powered-security-lights
347,sogrand/Mason-jar-solar-lights
348,sogrand/Solar-powered-motion-light
349,rick2785/JavaCode
350,craigcompton/NYT-Google-Books
351,kirtibajaj/HAckathon5.0
352,kirtibajaj/SwachAbhaiyan
353,JPhant/JPhant_Java_Based_Phant_Library
354,moks90/text-data
355,sogrand/Deck-post-lights
356,sogrand/Solar-landscape-lights
357,Sogrand123/Outdoor-garage-lights
358,Sogrand123/Solar-dock-lights
359,sogrand/solar-driveway-lights
360,sogrand/Solar-motion-sensor-light
361,sogrand/Solar-post-lights
362,sogrand/solar-pathway-lights
363,evanbell123/concurrent-quicksort
364,sogrand/Solar-lamp-post
365,Explanandum/Senior-Java-Developer
366,PandiarajanR/TimeAlocate.aspx.cs
367,ShampooPencil/NYT-Google-Books-Search
368,N30nHaCkZ/linux
369,vefro/Shopper-s-Paradise-to-Add-Essence-to-Your-Wardrobe
370,amjayesh07/ng-adminx
371,kayyymarieee/datapullpractice
372,andyhoi/crash-2
373,louboutins2014/louboutin
374,jettbrains/-L-
375,mdxedia/Awsome-Cash
376,kanboard/kanboard
377,octobox/octobox
378,opf/openproject
379,taigaio/taiga-front
380,bbatsov/projectile
381,boltpkg/bolt
382,chintanbanugaria/92five
383,MyCollab/mycollab
384,aviaviavi/toodles
385,a54552239/pearProject
386,lxerxa/actionview
387,iluminar/goodwork
388,dephell/dephell
389,alefragnani/vscode-project-manager
390,modesttree/Projeny
391,200ok-ch/organice
392,neuronetio/gantt-elastic
393,pichillilorenzo/JavaScriptEnhancements
394,easysoft/zentaopms
395,digitalfondue/lavagna
396,bardsoftware/ganttproject
397,EivindArvesen/prm
398,gopeak/masterlab
399,philschatz/gh-board
400,jdblischak/workflowr
401,yona-projects/yona
402,TeamvisionCorp/TeamVision
403,eonist/How-to-collaborate-on-github
404,tj/triage
405,Alanaktion/phproject
406,doctrine/collections
407,montagejs/collections
408,vinta/awesome-python
409,github/explore
410,hwalsuklee/tensorflow-generative-model-collections
411,goldmansachs/gs-collections
412,srdja/Collections-C
413,znxlwm/pytorch-generative-model-collections
414,eclipse/eclipse-collections
415,CyberMonitor/APT_CyberCriminal_Campagin_Collections
416,apache/commons-collections
417,RongleXie/java-books-collections
418,github/gitignore
419,Mr-xn/BurpSuite-collections
420,basarat/typescript-collections
421,NixOS/nixpkgs
422,modxcms/Collections
423,daimajia/AndroidViewAnimations
424,learn-co-students/cartoon-collections-v-000
425,jashkenas/backbone
426,learn-co-students/collections_practice-v-000
427,ibireme/YYKit
428,typelevel/cats-collections
429,goldmansachs/gs-collections-kata
430,amaembo/streamex
431,LEOYoon-Tsaw/Rime_collections
432,SecWiki/windows-kernel-exploits
433,alokc83/iOS-Example-Collections
434,eclipse/eclipse-collections-kata
435,fsprojects/FSharpx.Collections
436,TryGhost/Ghost
437,lerna/lerna
438,jgm/pandoc
439,nteract/papermill
440,substance/substance
441,writingink/wink
442,TryGhost/Casper
443,cnvs/canvas
444,writeas/writefreely
445,substance/texture
446,w3c/epubcheck
447,sile-typesetter/sile
448,javiereguiluz/easybook
449,openjournals/joss
450,intuit/auto
451,Postleaf/postleaf
452,pressbooks/pressbooks
453,kelyvin/caffeine-theme
454,TryGhost/Ghost-CLI
455,chmllr/notehub
456,vanniktech/gradle-maven-publish-plugin
457,wupdigital/android-maven-publish
458,dita-ot/dita-ot
459,chrisanthropic/Open-Publisher
460,pandoc-scholar/pandoc-scholar
461,augnustin/google-docs-publisher
462,vitorfs/parsifal
463,elgohr/Publish-Docker-Github-Action
464,manubot/rootstock
465,albertobeta/PodcastGenerator
466,maguowei/starred
467,StijnMiroslav/top-starred-devs-and-repos-to-follow
468,mingrammer/go-web-framework-stars
469,VSCodeVim/Vim
470,denysdovhan/spaceship-prompt
471,hrbrmstr/pewpew
472,kamranahmedse/githunt
473,sunxu3074/StarredRepository
474,wbotelhos/raty
475,mgbq/nx-admin
476,dwqs/blog
477,ng-select/ng-select
478,phalt/swapi
479,heibaiying/BigData-Notes
480,unity3d-jp/unitychan-crs
481,Showndarya/Hacktoberfest
482,zishon89us/node-cheat
483,IvBaranov/MaterialFavoriteButton
484,fossasia/star-me
485,joeyguo/blog
486,Juliiii/React-Cnode
487,dlinsin/DLStarRating
488,callmenick/five-star-rating
489,evgenyneu/Cosmos
490,frakbot/CreditsRoll
491,n49/react-stars
492,irfan/jquery-star-rating
493,BrOrlandi/StarWarsIntroCreator
494,AweiLoveAndroid/CommonDevKnowledge
495,kentcdodds/starwars-names
586,datawrangling/trendingtopics
587,mbadry1/Trending-Deep-Learning
588,d3/d3
589,vitalets/github-trending-repos
590,GeneralMills/pytrends
591,Nightonke/GithubWidget
592,taniman/profit-trailer
593,rnoelle/trendingTrivia
594,sugarac/react-native-github-trending
595,laowch/GithubTrends
596,hitherejoe/GithubTrending
597,bonfy/github-trending
598,huchenme/github-trending-api
599,Smerity/trending_arxiv
600,jae-jae/weapp-github-trending
601,hanford/trends
602,benfred/github-analysis
603,MatrixAINetwork/MATRIX_Diary
604,ophobe/trending
605,devmanorg/9_github_trending
606,mattcreager/starbot
607,QingWei-Li/vue-trend
608,mitchelljy/Trending-YouTube-Scraper
609,andygrunwald/TrendingGithub
610,StijnMiroslav/top-starred-devs-and-repos-to-follow
611,colinsurprenant/tweitgeist
612,snikolov/rumor
613,ZY2071/Crawler-for-Github-Trending
614,jlord/sheetsee.js
615,Idnan/trending-guides
616,jwasham/coding-interview-university
617,trekhleb/javascript-algorithms
618,azl397985856/leetcode
619,raywenderlich/swift-algorithm-club
620,huihut/interview
621,OpenRefine/OpenRefine
622,careercup/CtCI-6th-Edition
623,mahmoud/boltons
624,amejiarosario/dsa.js-data-structures-algorithms-javascript
625,OmkarPathak/pygorithm
626,TheAlgorithms/C-Plus-Plus
627,OI-wiki/OI-wiki
628,mandliya/algorithms_and_data_structures
629,soapyigu/LeetCode-Swift
630,aalhour/C-Sharp-Algorithms
631,phishman3579/java-algorithms-implementation
632,felipernb/algorithms.js
633,facert/python-data-structure-cn
634,benoitvallon/computer-science-in-javascript
635,grandyang/leetcode
636,crossbeam-rs/crossbeam
637,jamesroutley/write-a-hash-table
638,EbTech/rust-algorithms
639,JCTools/JCTools
640,loiane/javascript-datastructures-algorithms
641,fragglet/c-algorithms
642,floyernick/Data-Structures-and-Algorithms
643,srdja/Collections-C
644,php-ds/ext-ds
645,atomix/atomix
646,jlevy/the-art-of-command-line
647,nodejs/node
648,atom/atom
649,x64dbg/x64dbg
650,nylas/nylas-mail
651,FiloSottile/mkcert
652,jiahaog/nativefier
653,microsoft/calculator
654,PowerShell/PowerShell
655,libgdx/libgdx
656,BoostIO/Boostnote
657,Wox-launcher/Wox
658,agalwood/Motrix
659,libuv/libuv
660,marktext/marktext
661,cocos2d/cocos2d-x
662,microsoft/PowerToys
663,notable/notable
664,GitSquared/edex-ui
665,coreybutler/nvm-windows
666,txthinking/brook
667,appium/appium
668,Awesome-Windows/Awesome
669,kivy/kivy
670,notepad-plus-plus/notepad-plus-plus
671,sherlock-project/sherlock
672,pbatard/rufus
673,lukesampson/scoop
674,docker/labs
675,brave/browser-laptop
676,fastlane/fastlane
677,capistrano/capistrano
678,apex/up
679,deployphp/deployer
680,AppImage/AppImageKit
681,shipitjs/shipit
682,caprover/caprover
683,gaia-pipeline/gaia
684,StackStorm/st2
685,rundeck/rundeck
686,Triple-T/gradle-play-publisher
687,rocketeers/rocketeer
688,bitwalker/distillery
689,meefik/linuxdeploy
690,zeit/now-examples
691,cobbler/cobbler
692,ansistrano/deploy
693,cortexlabs/cortex
694,dmlc/nnvm
695,alirezadir/Production-Level-Deep-Learning
696,SeldonIO/seldon-server
697,nanobox-io/nanobox
698,gitname/react-gh-pages
699,banago/PHPloy
700,SeldonIO/seldon-core
701,keel-hq/keel
702,puniverse/capsule
703,MagerValp/AutoDMG
704,lorisleiva/laravel-deployer
705,probonopd/linuxdeployqt
706,benweet/stackedit
707,Automattic/wp-calypso
708,roots/sage
709,digitalocean/nginxconfig.io
710,woocommerce/woocommerce
711,WordPress/gutenberg
712,roots/bedrock
713,wpscanteam/wpscan
714,Varying-Vagrant-Vagrants/VVV
715,timber/timber
716,wp-cli/wp-cli
717,postlight/headless-wp-starter
718,wp-bootstrap/wp-bootstrap-navwalker
719,olefredrik/FoundationPress
720,wordpress-mobile/WordPress-iOS
721,corcel/corcel
722,CMB2/CMB2
723,ahmadawais/create-guten-block
724,wordpress-mobile/WordPress-Android
725,versionpress/versionpress
726,roots/trellis
727,wp-graphql/wp-graphql
728,lando/lando
729,EasyEngine/easyengine
730,welaika/wordmove
731,ampproject/amp-wp
732,GSA/data.gov
733,arnabwahid/wordpress-bootstrap
734,welaika/wordless
735,YahnisElsts/plugin-update-checker
736,jlevy/the-art-of-command-line
737,storybookjs/storybook
738,tldr-pages/tldr
739,freeCodeCamp/devdocs
740,chubin/cheat.sh
741,doczjs/docz
742,satwikkansal/wtfpython
743,facebook/docusaurus
744,charlax/professional-programming
745,docsifyjs/docsify
746,SimulatedGREG/electron-vue
747,shimohq/chinese-programmer-wrong-pronunciation
748,jsdoc/jsdoc
749,nhn/tui.editor
750,mkdocs/mkdocs
751,pandao/editor.md
752,styleguidist/react-styleguidist
753,zealdocs/zeal
754,sparanoid/chinese-copywriting-guidelines
755,Kapeli/Dash-iOS
756,github/opensource.guide
757,Requarks/wiki
758,nayafia/lemonade-stand
759,cheat/cheat
760,documentationjs/documentation
761,microsoft/TypeScript-Handbook
762,reactjs/reactjs.org
763,BookStackApp/BookStack
764,assemble/assemble
765,webpack-contrib/awesome-webpack
